Buffnum,Timestamp,Buffer Size, Detected Freq (Hz), Interpol Note, Commputation Time (uS)
1,0.0106667,512,0,Silence0,120
2,0.0213333,512,0,Silence0,98
3,0.032,512,0,Silence0,128
4,0.0426667,512,0,Silence0,87
5,0.0533333,512,0,Silence0,86
6,0.064,512,0,Silence0,86
7,0.0746667,512,0,Silence0,86
8,0.0853333,512,0,Silence0,86
9,0.096,512,0,Silence0,86
10,0.106667,512,0,Silence0,86
11,0.117333,512,0,Silence0,86
12,0.128,512,0,Silence0,86
13,0.138667,512,0,Silence0,86
14,0.149333,512,0,Silence0,86
15,0.16,512,0,Silence0,86
16,0.170667,512,0,Silence0,86
17,0.181333,512,0,Silence0,90
18,0.192,512,0,Silence0,94
19,0.202667,512,0,Silence0,87
20,0.213333,512,0,Silence0,87
21,0.224,512,0,Silence0,87
22,0.234667,512,0,Silence0,87
23,0.245333,512,0,Silence0,87
24,0.256,512,0,Silence0,87
25,0.266667,512,0,Silence0,87
26,0.277333,512,0,Silence0,87
27,0.288,512,0,Silence0,88
28,0.298667,512,0,Silence0,87
29,0.309333,512,0,Silence0,88
30,0.32,512,0,Silence0,87
31,0.330667,512,0,Silence0,88
32,0.341333,512,0,Silence0,87
33,0.352,512,0,Silence0,87
34,0.362667,512,0,Silence0,96
35,0.373333,512,0,Silence0,87
36,0.384,512,0,Silence0,87
37,0.394667,512,0,Silence0,87
38,0.405333,512,0,Silence0,87
39,0.416,512,0,Silence0,87
40,0.426667,512,0,Silence0,87
41,0.437333,512,0,Silence0,87
42,0.448,512,0,Silence0,89
43,0.458667,512,0,Silence0,87
44,0.469333,512,0,Silence0,88
45,0.48,512,0,Silence0,87
46,0.490667,512,0,Silence0,87
47,0.501333,512,0,Silence0,87
48,0.512,512,0,Silence0,87
49,0.522667,512,0,Silence0,87
50,0.533333,512,0,Silence0,94
51,0.544,512,0,Silence0,87
52,0.554667,512,0,Silence0,87
53,0.565333,512,0,Silence0,87
54,0.576,512,0,Silence0,87
55,0.586667,512,0,Silence0,87
56,0.597333,512,0,Silence0,87
57,0.608,512,0,Silence0,86
58,0.618667,512,0,Silence0,87
59,0.629333,512,0,Silence0,87
60,0.64,512,0,Silence0,87
61,0.650667,512,0,Silence0,86
62,0.661333,512,0,Silence0,86
63,0.672,512,0,Silence0,86
64,0.682667,512,0,Silence0,86
65,0.693333,512,0,Silence0,87
66,0.704,512,0,Silence0,96
67,0.714667,512,0,Silence0,87
68,0.725333,512,0,Silence0,87
69,0.736,512,0,Silence0,87
70,0.746667,512,0,Silence0,87
71,0.757333,512,0,Silence0,86
72,0.768,512,0,Silence0,87
73,0.778667,512,0,Silence0,87
74,0.789333,512,0,Silence0,86
75,0.8,512,0,Silence0,88
76,0.810667,512,0,Silence0,87
77,0.821333,512,0,Silence0,87
78,0.832,512,0,Silence0,87
79,0.842667,512,0,Silence0,87
80,0.853333,512,0,Silence0,87
81,0.864,512,0,Silence0,88
82,0.874667,512,0,Silence0,96
83,0.885333,512,0,Silence0,88
84,0.896,512,0,Silence0,88
85,0.906667,512,0,Silence0,87
86,0.917333,512,0,Silence0,87
87,0.928,512,0,Silence0,87
88,0.938667,512,0,Silence0,87
89,0.949333,512,0,Silence0,88
90,0.96,512,0,Silence0,88
91,0.970667,512,0,Silence0,92
92,0.981333,512,0,Silence0,88
93,0.992,512,0,Silence0,88
94,1.00267,512,0,Silence0,88
95,1.01333,512,0,Silence0,88
96,1.024,512,0,Silence0,87
97,1.03467,512,0,Silence0,87
98,1.04533,512,0,Silence0,96
99,1.056,512,0,Silence0,87
100,1.06667,512,0,Silence0,87
101,1.07733,512,0,Silence0,87
102,1.088,512,0,Silence0,87
103,1.09867,512,0,Silence0,86
104,1.10933,512,0,Silence0,87
105,1.12,512,0,Silence0,87
106,1.13067,512,0,Silence0,87
107,1.14133,512,0,Silence0,87
108,1.152,512,0,Silence0,87
109,1.16267,512,0,Silence0,87
110,1.17333,512,0,Silence0,87
111,1.184,512,0,Silence0,87
112,1.19467,512,0,Silence0,87
113,1.20533,512,0,Silence0,87
114,1.216,512,0,Silence0,93
115,1.22667,512,0,Silence0,87
116,1.23733,512,0,Silence0,87
117,1.248,512,0,Silence0,89
118,1.25867,512,0,Silence0,87
119,1.26933,512,0,Silence0,87
120,1.28,512,0,Silence0,87
121,1.29067,512,0,Silence0,87
122,1.30133,512,0,Silence0,87
123,1.312,512,0,Silence0,87
124,1.32267,512,0,Silence0,87
125,1.33333,512,0,Silence0,87
126,1.344,512,0,Silence0,87
127,1.35467,512,0,Silence0,87
128,1.36533,512,0,Silence0,87
129,1.376,512,0,Silence0,87
130,1.38667,512,0,Silence0,93
131,1.39733,512,0,Silence0,87
132,1.408,512,0,Silence0,87
133,1.41867,512,0,Silence0,87
134,1.42933,512,0,Silence0,87
135,1.44,512,0,Silence0,87
