Buffnum,Timestamp,Buffer Size, Detected Freq (Hz), Interpol Note, Commputation Time (uS)
1,0.00266667,2048,0,Silence0,54
2,0.00533333,2048,0,Silence0,24
3,0.008,2048,0,Silence0,40
4,0.0106667,2048,0,Silence0,17
5,0.0133333,2048,0,Silence0,17
6,0.016,2048,0,Silence0,17
7,0.0186667,2048,0,Silence0,17
8,0.0213333,2048,0,Silence0,17
9,0.024,2048,0,Silence0,17
10,0.0266667,2048,0,Silence0,17
11,0.0293333,2048,0,Silence0,17
12,0.032,2048,0,Silence0,17
13,0.0346667,2048,0,Silence0,17
14,0.0373333,2048,0,Silence0,17
15,0.04,2048,0,Silence0,17
16,0.0426667,2048,0,Silence0,17
17,0.0453333,2048,0,Silence0,17
18,0.048,2048,0,Silence0,23
19,0.0506667,2048,0,Silence0,17
20,0.0533333,2048,0,Silence0,17
21,0.056,2048,0,Silence0,17
22,0.0586667,2048,0,Silence0,17
23,0.0613333,2048,0,Silence0,17
24,0.064,2048,0,Silence0,17
25,0.0666667,2048,0,Silence0,18
26,0.0693333,2048,0,Silence0,17
27,0.072,2048,0,Silence0,17
28,0.0746667,2048,0,Silence0,17
29,0.0773333,2048,0,Silence0,17
30,0.08,2048,0,Silence0,17
31,0.0826667,2048,0,Silence0,17
32,0.0853333,2048,0,Silence0,17
33,0.088,2048,0,Silence0,18
34,0.0906667,2048,0,Silence0,24
35,0.0933333,2048,0,Silence0,17
36,0.096,2048,0,Silence0,17
37,0.0986667,2048,0,Silence0,17
38,0.101333,2048,0,Silence0,17
39,0.104,2048,0,Silence0,17
40,0.106667,2048,0,Silence0,17
41,0.109333,2048,0,Silence0,17
42,0.112,2048,0,Silence0,17
43,0.114667,2048,0,Silence0,17
44,0.117333,2048,0,Silence0,17
45,0.12,2048,0,Silence0,17
46,0.122667,2048,0,Silence0,17
47,0.125333,2048,0,Silence0,17
48,0.128,2048,0,Silence0,17
49,0.130667,2048,0,Silence0,17
50,0.133333,2048,0,Silence0,23
51,0.136,2048,0,Silence0,17
52,0.138667,2048,0,Silence0,17
53,0.141333,2048,0,Silence0,17
54,0.144,2048,0,Silence0,17
55,0.146667,2048,0,Silence0,17
56,0.149333,2048,0,Silence0,17
57,0.152,2048,0,Silence0,17
58,0.154667,2048,0,Silence0,17
59,0.157333,2048,0,Silence0,17
60,0.16,2048,0,Silence0,17
61,0.162667,2048,0,Silence0,17
62,0.165333,2048,0,Silence0,17
63,0.168,2048,0,Silence0,17
64,0.170667,2048,0,Silence0,17
65,0.173333,2048,0,Silence0,17
66,0.176,2048,0,Silence0,23
67,0.178667,2048,0,Silence0,17
68,0.181333,2048,0,Silence0,17
69,0.184,2048,0,Silence0,17
70,0.186667,2048,0,Silence0,17
71,0.189333,2048,0,Silence0,17
72,0.192,2048,0,Silence0,17
73,0.194667,2048,0,Silence0,17
74,0.197333,2048,0,Silence0,17
75,0.2,2048,0,Silence0,17
76,0.202667,2048,0,Silence0,17
77,0.205333,2048,0,Silence0,17
78,0.208,2048,0,Silence0,17
79,0.210667,2048,0,Silence0,17
80,0.213333,2048,0,Silence0,17
81,0.216,2048,0,Silence0,17
82,0.218667,2048,0,Silence0,23
83,0.221333,2048,0,Silence0,17
84,0.224,2048,0,Silence0,17
85,0.226667,2048,0,Silence0,17
86,0.229333,2048,0,Silence0,17
87,0.232,2048,0,Silence0,17
88,0.234667,2048,0,Silence0,17
89,0.237333,2048,0,Silence0,17
90,0.24,2048,0,Silence0,17
91,0.242667,2048,0,Silence0,17
92,0.245333,2048,0,Silence0,17
93,0.248,2048,0,Silence0,17
94,0.250667,2048,0,Silence0,17
95,0.253333,2048,0,Silence0,17
96,0.256,2048,0,Silence0,17
97,0.258667,2048,0,Silence0,17
98,0.261333,2048,0,Silence0,22
99,0.264,2048,0,Silence0,17
100,0.266667,2048,0,Silence0,17
101,0.269333,2048,0,Silence0,17
102,0.272,2048,0,Silence0,17
103,0.274667,2048,0,Silence0,17
104,0.277333,2048,0,Silence0,17
105,0.28,2048,0,Silence0,17
106,0.282667,2048,0,Silence0,17
107,0.285333,2048,0,Silence0,17
108,0.288,2048,0,Silence0,17
109,0.290667,2048,0,Silence0,17
110,0.293333,2048,0,Silence0,17
111,0.296,2048,0,Silence0,17
112,0.298667,2048,0,Silence0,17
113,0.301333,2048,0,Silence0,17
114,0.304,2048,0,Silence0,23
115,0.306667,2048,0,Silence0,17
116,0.309333,2048,0,Silence0,17
117,0.312,2048,0,Silence0,17
118,0.314667,2048,0,Silence0,17
119,0.317333,2048,0,Silence0,17
120,0.32,2048,0,Silence0,17
121,0.322667,2048,0,Silence0,17
122,0.325333,2048,0,Silence0,17
123,0.328,2048,0,Silence0,17
124,0.330667,2048,0,Silence0,17
125,0.333333,2048,0,Silence0,17
126,0.336,2048,0,Silence0,17
127,0.338667,2048,0,Silence0,17
128,0.341333,2048,0,Silence0,17
129,0.344,2048,0,Silence0,17
130,0.346667,2048,0,Silence0,23
131,0.349333,2048,0,Silence0,17
132,0.352,2048,0,Silence0,17
133,0.354667,2048,0,Silence0,17
134,0.357333,2048,0,Silence0,18
135,0.36,2048,0,Silence0,17
136,0.362667,2048,0,Silence0,17
137,0.365333,2048,0,Silence0,17
138,0.368,2048,0,Silence0,17
139,0.370667,2048,0,Silence0,17
140,0.373333,2048,0,Silence0,17
141,0.376,2048,0,Silence0,17
142,0.378667,2048,0,Silence0,17
143,0.381333,2048,0,Silence0,17
144,0.384,2048,0,Silence0,17
145,0.386667,2048,0,Silence0,17
146,0.389333,2048,0,Silence0,24
147,0.392,2048,0,Silence0,17
148,0.394667,2048,0,Silence0,17
149,0.397333,2048,0,Silence0,17
150,0.4,2048,0,Silence0,17
151,0.402667,2048,0,Silence0,17
152,0.405333,2048,0,Silence0,17
153,0.408,2048,0,Silence0,17
154,0.410667,2048,0,Silence0,17
155,0.413333,2048,0,Silence0,17
156,0.416,2048,0,Silence0,17
157,0.418667,2048,0,Silence0,17
158,0.421333,2048,0,Silence0,17
159,0.424,2048,0,Silence0,17
160,0.426667,2048,0,Silence0,17
161,0.429333,2048,0,Silence0,17
162,0.432,2048,0,Silence0,23
163,0.434667,2048,0,Silence0,17
164,0.437333,2048,0,Silence0,17
165,0.44,2048,0,Silence0,17
166,0.442667,2048,0,Silence0,17
167,0.445333,2048,0,Silence0,17
168,0.448,2048,0,Silence0,17
169,0.450667,2048,0,Silence0,17
170,0.453333,2048,0,Silence0,17
171,0.456,2048,0,Silence0,17
172,0.458667,2048,0,Silence0,17
173,0.461333,2048,0,Silence0,17
174,0.464,2048,0,Silence0,17
175,0.466667,2048,0,Silence0,17
176,0.469333,2048,0,Silence0,17
177,0.472,2048,0,Silence0,17
178,0.474667,2048,0,Silence0,22
179,0.477333,2048,0,Silence0,17
180,0.48,2048,0,Silence0,17
181,0.482667,2048,0,Silence0,17
182,0.485333,2048,0,Silence0,17
183,0.488,2048,0,Silence0,17
184,0.490667,2048,0,Silence0,17
185,0.493333,2048,0,Silence0,17
186,0.496,2048,0,Silence0,17
187,0.498667,2048,0,Silence0,17
188,0.501333,2048,0,Silence0,17
189,0.504,2048,0,Silence0,17
190,0.506667,2048,0,Silence0,17
191,0.509333,2048,0,Silence0,17
192,0.512,2048,0,Silence0,17
193,0.514667,2048,0,Silence0,17
194,0.517333,2048,0,Silence0,23
195,0.52,2048,0,Silence0,17
196,0.522667,2048,0,Silence0,17
197,0.525333,2048,0,Silence0,17
198,0.528,2048,0,Silence0,17
199,0.530667,2048,0,Silence0,17
200,0.533333,2048,0,Silence0,17
201,0.536,2048,0,Silence0,17
202,0.538667,2048,0,Silence0,17
203,0.541333,2048,0,Silence0,17
204,0.544,2048,0,Silence0,17
205,0.546667,2048,0,Silence0,17
206,0.549333,2048,0,Silence0,17
207,0.552,2048,0,Silence0,17
208,0.554667,2048,0,Silence0,17
209,0.557333,2048,0,Silence0,17
210,0.56,2048,0,Silence0,23
211,0.562667,2048,0,Silence0,17
212,0.565333,2048,0,Silence0,17
213,0.568,2048,0,Silence0,17
214,0.570667,2048,0,Silence0,17
215,0.573333,2048,0,Silence0,17
216,0.576,2048,0,Silence0,17
217,0.578667,2048,0,Silence0,17
218,0.581333,2048,0,Silence0,17
219,0.584,2048,0,Silence0,17
220,0.586667,2048,0,Silence0,17
221,0.589333,2048,0,Silence0,17
222,0.592,2048,0,Silence0,17
223,0.594667,2048,0,Silence0,17
224,0.597333,2048,0,Silence0,17
225,0.6,2048,0,Silence0,17
226,0.602667,2048,0,Silence0,23
227,0.605333,2048,0,Silence0,17
228,0.608,2048,0,Silence0,17
229,0.610667,2048,0,Silence0,17
230,0.613333,2048,0,Silence0,17
231,0.616,2048,0,Silence0,17
232,0.618667,2048,0,Silence0,17
233,0.621333,2048,0,Silence0,17
234,0.624,2048,0,Silence0,17
235,0.626667,2048,0,Silence0,17
236,0.629333,2048,0,Silence0,17
237,0.632,2048,0,Silence0,17
238,0.634667,2048,0,Silence0,17
239,0.637333,2048,0,Silence0,17
240,0.64,2048,0,Silence0,20
241,0.642667,2048,0,Silence0,17
242,0.645333,2048,0,Silence0,23
243,0.648,2048,0,Silence0,17
244,0.650667,2048,0,Silence0,17
245,0.653333,2048,0,Silence0,17
246,0.656,2048,0,Silence0,17
247,0.658667,2048,0,Silence0,17
248,0.661333,2048,0,Silence0,17
249,0.664,2048,0,Silence0,17
250,0.666667,2048,0,Silence0,17
251,0.669333,2048,0,Silence0,18
252,0.672,2048,0,Silence0,17
253,0.674667,2048,0,Silence0,17
254,0.677333,2048,0,Silence0,17
255,0.68,2048,0,Silence0,17
256,0.682667,2048,0,Silence0,17
257,0.685333,2048,0,Silence0,17
258,0.688,2048,0,Silence0,24
259,0.690667,2048,0,Silence0,17
260,0.693333,2048,0,Silence0,17
261,0.696,2048,0,Silence0,17
262,0.698667,2048,0,Silence0,17
263,0.701333,2048,0,Silence0,17
264,0.704,2048,0,Silence0,17
265,0.706667,2048,0,Silence0,17
266,0.709333,2048,0,Silence0,18
267,0.712,2048,0,Silence0,17
268,0.714667,2048,0,Silence0,17
269,0.717333,2048,0,Silence0,17
270,0.72,2048,0,Silence0,17
271,0.722667,2048,0,Silence0,17
272,0.725333,2048,0,Silence0,17
273,0.728,2048,0,Silence0,17
274,0.730667,2048,0,Silence0,23
275,0.733333,2048,0,Silence0,17
276,0.736,2048,0,Silence0,17
277,0.738667,2048,0,Silence0,17
278,0.741333,2048,0,Silence0,17
279,0.744,2048,0,Silence0,17
280,0.746667,2048,0,Silence0,16
281,0.749333,2048,0,Silence0,16
282,0.752,2048,0,Silence0,17
283,0.754667,2048,0,Silence0,17
284,0.757333,2048,0,Silence0,17
285,0.76,2048,0,Silence0,17
286,0.762667,2048,0,Silence0,17
287,0.765333,2048,0,Silence0,17
288,0.768,2048,0,Silence0,16
289,0.770667,2048,0,Silence0,17
290,0.773333,2048,0,Silence0,22
291,0.776,2048,0,Silence0,17
292,0.778667,2048,0,Silence0,17
293,0.781333,2048,0,Silence0,17
294,0.784,2048,0,Silence0,16
295,0.786667,2048,0,Silence0,17
296,0.789333,2048,0,Silence0,17
297,0.792,2048,0,Silence0,16
298,0.794667,2048,0,Silence0,17
299,0.797333,2048,0,Silence0,17
300,0.8,2048,0,Silence0,17
301,0.802667,2048,0,Silence0,16
302,0.805333,2048,0,Silence0,16
303,0.808,2048,0,Silence0,17
304,0.810667,2048,0,Silence0,17
305,0.813333,2048,0,Silence0,17
306,0.816,2048,0,Silence0,22
307,0.818667,2048,0,Silence0,17
308,0.821333,2048,0,Silence0,17
309,0.824,2048,0,Silence0,17
310,0.826667,2048,0,Silence0,17
311,0.829333,2048,0,Silence0,17
312,0.832,2048,0,Silence0,17
313,0.834667,2048,0,Silence0,17
314,0.837333,2048,0,Silence0,16
315,0.84,2048,0,Silence0,16
316,0.842667,2048,0,Silence0,16
317,0.845333,2048,0,Silence0,17
318,0.848,2048,0,Silence0,16
319,0.850667,2048,0,Silence0,16
320,0.853333,2048,0,Silence0,16
321,0.856,2048,0,Silence0,16
322,0.858667,2048,0,Silence0,22
323,0.861333,2048,0,Silence0,16
324,0.864,2048,0,Silence0,16
325,0.866667,2048,0,Silence0,16
326,0.869333,2048,0,Silence0,16
327,0.872,2048,0,Silence0,16
328,0.874667,2048,0,Silence0,16
329,0.877333,2048,0,Silence0,16
330,0.88,2048,0,Silence0,16
331,0.882667,2048,0,Silence0,16
332,0.885333,2048,0,Silence0,16
333,0.888,2048,0,Silence0,16
334,0.890667,2048,0,Silence0,16
335,0.893333,2048,0,Silence0,16
336,0.896,2048,0,Silence0,16
337,0.898667,2048,0,Silence0,16
338,0.901333,2048,0,Silence0,22
339,0.904,2048,0,Silence0,16
340,0.906667,2048,0,Silence0,16
341,0.909333,2048,0,Silence0,16
342,0.912,2048,0,Silence0,16
343,0.914667,2048,0,Silence0,16
344,0.917333,2048,0,Silence0,16
345,0.92,2048,0,Silence0,16
346,0.922667,2048,0,Silence0,16
347,0.925333,2048,0,Silence0,16
348,0.928,2048,0,Silence0,16
349,0.930667,2048,0,Silence0,16
350,0.933333,2048,0,Silence0,16
351,0.936,2048,0,Silence0,16
352,0.938667,2048,0,Silence0,16
353,0.941333,2048,0,Silence0,16
354,0.944,2048,0,Silence0,22
355,0.946667,2048,0,Silence0,16
356,0.949333,2048,0,Silence0,16
357,0.952,2048,0,Silence0,16
358,0.954667,2048,0,Silence0,16
359,0.957333,2048,0,Silence0,30
360,0.96,2048,0,Silence0,16
361,0.962667,2048,0,Silence0,16
362,0.965333,2048,0,Silence0,16
363,0.968,2048,0,Silence0,18
364,0.970667,2048,0,Silence0,16
365,0.973333,2048,0,Silence0,16
366,0.976,2048,0,Silence0,16
367,0.978667,2048,0,Silence0,16
368,0.981333,2048,0,Silence0,16
369,0.984,2048,0,Silence0,16
370,0.986667,2048,0,Silence0,22
371,0.989333,2048,0,Silence0,16
372,0.992,2048,0,Silence0,16
373,0.994667,2048,0,Silence0,16
374,0.997333,2048,0,Silence0,16
375,1,2048,0,Silence0,16
376,1.00267,2048,0,Silence0,16
377,1.00533,2048,0,Silence0,16
378,1.008,2048,0,Silence0,16
379,1.01067,2048,0,Silence0,16
380,1.01333,2048,0,Silence0,16
381,1.016,2048,0,Silence0,16
382,1.01867,2048,0,Silence0,16
383,1.02133,2048,0,Silence0,16
384,1.024,2048,0,Silence0,16
385,1.02667,2048,0,Silence0,16
386,1.02933,2048,0,Silence0,22
387,1.032,2048,0,Silence0,16
388,1.03467,2048,0,Silence0,16
389,1.03733,2048,0,Silence0,16
390,1.04,2048,0,Silence0,16
391,1.04267,2048,0,Silence0,16
392,1.04533,2048,0,Silence0,16
393,1.048,2048,0,Silence0,16
394,1.05067,2048,0,Silence0,16
395,1.05333,2048,0,Silence0,16
396,1.056,2048,0,Silence0,16
397,1.05867,2048,0,Silence0,16
398,1.06133,2048,0,Silence0,16
399,1.064,2048,0,Silence0,16
400,1.06667,2048,0,Silence0,16
401,1.06933,2048,0,Silence0,30
402,1.072,2048,0,Silence0,21
403,1.07467,2048,0,Silence0,15
404,1.07733,2048,0,Silence0,15
405,1.08,2048,0,Silence0,15
406,1.08267,2048,0,Silence0,15
407,1.08533,2048,0,Silence0,15
408,1.088,2048,0,Silence0,15
409,1.09067,2048,0,Silence0,15
410,1.09333,2048,0,Silence0,15
411,1.096,2048,0,Silence0,15
412,1.09867,2048,0,Silence0,15
413,1.10133,2048,0,Silence0,15
414,1.104,2048,0,Silence0,15
415,1.10667,2048,0,Silence0,15
416,1.10933,2048,0,Silence0,15
417,1.112,2048,0,Silence0,15
418,1.11467,2048,0,Silence0,21
419,1.11733,2048,0,Silence0,15
420,1.12,2048,0,Silence0,15
421,1.12267,2048,0,Silence0,15
422,1.12533,2048,0,Silence0,15
423,1.128,2048,0,Silence0,15
424,1.13067,2048,0,Silence0,17
425,1.13333,2048,0,Silence0,15
426,1.136,2048,0,Silence0,15
427,1.13867,2048,0,Silence0,15
428,1.14133,2048,0,Silence0,15
429,1.144,2048,0,Silence0,16
430,1.14667,2048,0,Silence0,15
431,1.14933,2048,0,Silence0,15
432,1.152,2048,0,Silence0,15
433,1.15467,2048,0,Silence0,15
434,1.15733,2048,0,Silence0,22
435,1.16,2048,0,Silence0,16
436,1.16267,2048,0,Silence0,15
437,1.16533,2048,0,Silence0,15
438,1.168,2048,0,Silence0,15
439,1.17067,2048,0,Silence0,15
440,1.17333,2048,0,Silence0,15
441,1.176,2048,0,Silence0,15
442,1.17867,2048,0,Silence0,15
443,1.18133,2048,0,Silence0,15
444,1.184,2048,0,Silence0,17
445,1.18667,2048,0,Silence0,16
446,1.18933,2048,0,Silence0,35
447,1.192,2048,0,Silence0,64
448,1.19467,2048,0,Silence0,58
449,1.19733,2048,0,Silence0,15
450,1.2,2048,0,Silence0,21
451,1.20267,2048,0,Silence0,15
452,1.20533,2048,0,Silence0,15
453,1.208,2048,0,Silence0,15
454,1.21067,2048,0,Silence0,15
455,1.21333,2048,0,Silence0,15
456,1.216,2048,0,Silence0,15
457,1.21867,2048,0,Silence0,15
458,1.22133,2048,0,Silence0,15
459,1.224,2048,0,Silence0,15
460,1.22667,2048,0,Silence0,15
461,1.22933,2048,0,Silence0,15
462,1.232,2048,0,Silence0,15
463,1.23467,2048,0,Silence0,15
464,1.23733,2048,0,Silence0,15
465,1.24,2048,0,Silence0,15
466,1.24267,2048,0,Silence0,21
467,1.24533,2048,0,Silence0,15
468,1.248,2048,0,Silence0,15
469,1.25067,2048,0,Silence0,15
470,1.25333,2048,0,Silence0,15
471,1.256,2048,0,Silence0,15
472,1.25867,2048,0,Silence0,15
473,1.26133,2048,0,Silence0,15
474,1.264,2048,0,Silence0,15
475,1.26667,2048,0,Silence0,15
476,1.26933,2048,0,Silence0,15
477,1.272,2048,0,Silence0,47
478,1.27467,2048,0,Silence0,17
479,1.27733,2048,0,Silence0,37
480,1.28,2048,0,Silence0,15
481,1.28267,2048,0,Silence0,15
482,1.28533,2048,0,Silence0,20
483,1.288,2048,0,Silence0,15
484,1.29067,2048,0,Silence0,32
485,1.29333,2048,0,Silence0,14
486,1.296,2048,0,Silence0,15
487,1.29867,2048,0,Silence0,15
488,1.30133,2048,0,Silence0,15
489,1.304,2048,0,Silence0,15
490,1.30667,2048,0,Silence0,15
491,1.30933,2048,0,Silence0,15
492,1.312,2048,0,Silence0,15
493,1.31467,2048,0,Silence0,15
494,1.31733,2048,0,Silence0,15
495,1.32,2048,0,Silence0,15
496,1.32267,2048,0,Silence0,15
497,1.32533,2048,0,Silence0,15
498,1.328,2048,0,Silence0,20
499,1.33067,2048,0,Silence0,15
500,1.33333,2048,0,Silence0,15
501,1.336,2048,0,Silence0,15
502,1.33867,2048,0,Silence0,15
503,1.34133,2048,0,Silence0,15
504,1.344,2048,0,Silence0,15
505,1.34667,2048,0,Silence0,15
506,1.34933,2048,0,Silence0,15
507,1.352,2048,0,Silence0,15
508,1.35467,2048,0,Silence0,15
509,1.35733,2048,0,Silence0,15
510,1.36,2048,0,Silence0,15
511,1.36267,2048,0,Silence0,15
512,1.36533,2048,0,Silence0,15
513,1.368,2048,0,Silence0,14
514,1.37067,2048,0,Silence0,15
515,1.37333,2048,0,Silence0,20
516,1.376,2048,0,Silence0,15
517,1.37867,2048,0,Silence0,15
518,1.38133,2048,0,Silence0,15
519,1.384,2048,0,Silence0,15
520,1.38667,2048,0,Silence0,15
521,1.38933,2048,0,Silence0,15
522,1.392,2048,0,Silence0,15
523,1.39467,2048,0,Silence0,15
524,1.39733,2048,0,Silence0,31
525,1.4,2048,0,Silence0,14
526,1.40267,2048,0,Silence0,14
527,1.40533,2048,0,Silence0,14
528,1.408,2048,0,Silence0,14
529,1.41067,2048,0,Silence0,14
530,1.41333,2048,0,Silence0,20
531,1.416,2048,0,Silence0,14
532,1.41867,2048,0,Silence0,14
533,1.42133,2048,0,Silence0,14
534,1.424,2048,0,Silence0,14
535,1.42667,2048,0,Silence0,15
536,1.42933,2048,0,Silence0,14
537,1.432,2048,0,Silence0,14
538,1.43467,2048,0,Silence0,14
539,1.43733,2048,0,Silence0,14
540,1.44,2048,0,Silence0,14
